Dataset,Packet,Method,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,MergeError,ExtraEventRatio,RuntimeSeconds
shapes_6dof_events,1,LLGD,585,25,8,0.237864077669903,0.56,0.333901192504259,0.20040899795501,1,0.0102040816326531,0.44,0.051608
shapes_6dof_events,1,ST,585,25,7,0.269417475728155,0.792857142857143,0.402173913043478,0.251700680272109,1,0.036036036036036,0.207142857142857,0.0090494
shapes_6dof_events,1,ELiSeD,585,25,1,0,0,0,0,NaN,NaN,1,0.0127414
shapes_6dof_events,1,LE-calib,585,25,3,0.274271844660194,0.818840579710145,0.410909090909091,0.258581235697941,1,0.168141592920354,0.181159420289855,0.1850757
shapes_6dof_events,2,LLGD,123,21,0,0,0,0,0,NaN,NaN,0,0.0035827
shapes_6dof_events,2,ST,123,21,0,0,0,0,0,NaN,NaN,0,0.0017499
shapes_6dof_events,2,ELiSeD,123,21,0,0,0,0,0,NaN,NaN,0,0.0020311
shapes_6dof_events,2,LE-calib,123,21,1,0.227272727272727,0.666666666666667,0.338983050847458,0.204081632653061,NaN,0.8,0.333333333333333,0.0498438
shapes_6dof_events,3,LLGD,805,25,10,0.352014010507881,0.654723127035831,0.457858769931663,0.296898079763663,1,0.0348258706467661,0.345276872964169,0.0803366
shapes_6dof_events,3,ST,805,25,8,0.264448336252189,0.920731707317073,0.410884353741497,0.258561643835616,1.4,0.0529801324503312,0.0792682926829268,0.0078818
shapes_6dof_events,3,ELiSeD,805,25,7,0.155866900175131,0.831775700934579,0.262536873156342,0.151103565365025,1.2,0.0224719101123596,0.168224299065421,0.0254415
shapes_6dof_events,3,LE-calib,805,25,6,0.371278458844133,0.861788617886179,0.518971848225214,0.350413223140496,1,0.0330188679245284,0.138211382113821,0.2112553
shapes_6dof_events,4,LLGD,1323,28,16,0.636636636636637,0.829204693611473,0.720271800679502,0.56283185840708,1,0.0550314465408805,0.170795306388527,0.0902804
shapes_6dof_events,4,ST,1323,28,14,0.224224224224224,0.687116564417178,0.33811320754717,0.203451407811081,1.28571428571429,0.0133928571428571,0.312883435582822,0.0107395
