Dataset,Method,Packets,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,FragmentationN,MergeError,MergeErrorN,ExtraEventRatio,RuntimeSeconds,RuntimeStd
shapes_6dof_events,LLGD,30,1756.56666666667,30.2,21.1,0.581932645226302,0.710809859832798,0.627064192599971,0.475750118488772,1.08181364499823,29,0.0623262258195037,29,0.255856806833869,0.125261073333333,0.0584409764603212
shapes_6dof_events,ST,30,1756.56666666667,30.2,15.9333333333333,0.263018641108825,0.746291757406395,0.387032404424535,0.243546362533665,1.45129496939842,29,0.0326361854571007,29,0.220374909260271,0.0120481533333333,0.00449005405994131
shapes_6dof_events,ELiSeD,30,1756.56666666667,30.2,30,0.399962118553358,0.706287672206993,0.484525916883371,0.344790244080091,1.95456109301139,27,0.0327273134660422,27,0.22704566112634,0.0433271,0.0302527275802159
shapes_6dof_events,LE-calib,30,1756.56666666667,30.2,13.0666666666667,0.435409362038898,0.784793332905293,0.546880350602303,0.382795549865157,1.01858237547893,29,0.067932673227815,30,0.215206667094708,0.330309893333333,0.126704319190231
urban_events,LLGD,30,10946.8333333333,96.2666666666667,54.7,0.400809014704069,0.282085443862751,0.300962712574371,0.187026325276006,1.08974358974359,26,0.400232692410183,30,0.717914556137249,1.13341557,1.21427069853066
urban_events,ST,30,10946.8333333333,96.2666666666667,19.6,0.0768467071301119,0.357606469892282,0.124449947584448,0.0689807911624651,1.45470085470085,28,0.0363391952348268,29,0.642393530107718,0.09086282,0.0557614325014404
urban_events,ELiSeD,30,10946.8333333333,96.2666666666667,22.5333333333333,0.0594628899791586,0.341202068899279,0.0938637681106367,0.0508242468277366,1.73177110587825,28,0.0590129185189675,28,0.592131264434054,0.15920294,0.124893673605571
urban_events,LE-calib,30,10946.8333333333,96.2666666666667,48.5,0.314840159576655,0.353174258425925,0.327092683336015,0.197253719032065,1.1663363422292,28,0.388906548971141,30,0.646825741574075,1.96247237333333,1.04723831694714
office_spiral_events,LLGD,30,10556.9666666667,75,35.8,0.529802464242626,0.383528305874211,0.401844588369054,0.254148579795919,1.12055981055981,30,0.369718040966466,30,0.616471694125789,1.16255065666667,1.13913653200231
office_spiral_events,ST,30,10556.9666666667,75,13.9666666666667,0.0571868867378895,0.319274033001844,0.0955430337477288,0.0517982820162334,1.16055555555556,30,0.0517817662290364,30,0.680725966998156,0.0849136933333333,0.0458786630130626
office_spiral_events,ELiSeD,30,10556.9666666667,75,22.8333333333333,0.119186396213354,0.561070614368615,0.190447092545998,0.109826595267705,1.93189655172414,29,0.0270856643672756,30,0.438929385631385,0.149920856666667,0.0902569815660499
office_spiral_events,LE-calib,30,10556.9666666667,75,49,0.358202679273634,0.417840189267149,0.383302219581762,0.239185773371455,1.21387917365859,30,0.159014156938654,30,0.582159810732851,2.03218985333333,0.982574391655061
hqf_boxes_events,LLGD,30,8152.4,51.0666666666667,24.1333333333333,0.486187593549949,0.494954593512995,0.456591522353553,0.306380765381668,1.10452380952381,30,0.225774211852996,30,0.505045406487004,0.664173686666667,0.481703248839915
hqf_boxes_events,ST,30,8152.4,51.0666666666667,17.3333333333333,0.0906644802419804,0.534522915604963,0.151400115960156,0.0836491714460119,1.58626984126984,30,0.0448063899415963,30,0.465477084395037,0.0647110033333333,0.0326954558148006
hqf_boxes_events,ELiSeD,30,8152.4,51.0666666666667,51.5333333333333,0.293430257584011,0.56215924528569,0.359140853589583,0.230694081096766,2.26270643300055,30,0.0714030868094563,30,0.43784075471431,0.160092043333333,0.0915920521448558
hqf_boxes_events,LE-calib,30,8152.4,51.0666666666667,40.0333333333333,0.45754344840555,0.452897783288486,0.448334261092576,0.293902715915173,1.3599506974507,30,0.188531515898346,30,0.547102216711514,1.45251107333333,0.660885348131331
