Dataset,Packet,Experiment,Category,Parameter,Value,Repeat,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,MergeError,ExtraEventRatio,RuntimeSeconds
shapes_6dof_events,1,Full LLGD,Full,-,NaN,1,585,25,8,0.237864077669903,0.56,0.333901192504259,0.20040899795501,1,0.0102040816326531,0.44,0.0546343
shapes_6dof_events,1,w/o weighted support,Ablation,UseWeights,0,1,585,25,31,0.902912621359223,0.722330097087379,0.802588996763754,0.67027027027027,1.23076923076923,0.0403225806451613,0.277669902912621,0.1395177
shapes_6dof_events,1,w/o local verification,Ablation,UseVerification,0,1,585,25,9,0.383495145631068,0.672340425531915,0.488408037094281,0.323108384458078,1,0.0189873417721519,0.327659574468085,0.0301855
shapes_6dof_events,1,w/o global expansion,Ablation,UseGlobalExpansion,0,1,585,25,9,0.174757281553398,0.549618320610687,0.265193370165746,0.152866242038217,1.33333333333333,0,0.450381679389313,0.0618598
shapes_6dof_events,1,unit estimation weights,Ablation,UseWeights,0,1,585,25,8,0.237864077669903,0.56,0.333901192504259,0.20040899795501,1,0.0102040816326531,0.44,0.0400951
shapes_6dof_events,1,unit support tests,Ablation,UseMultiplicitySupport,0,1,585,25,32,0.910194174757282,0.721153846153846,0.804721030042919,0.673249551166966,1.21428571428571,0.0373333333333333,0.278846153846154,0.0702492
shapes_6dof_events,2,Full LLGD,Full,-,NaN,1,123,21,0,0,0,0,0,NaN,NaN,0,0.0022882
shapes_6dof_events,2,w/o weighted support,Ablation,UseWeights,0,1,123,21,5,0.181818181818182,0.551724137931034,0.273504273504273,0.158415841584158,1,0,0.448275862068966,0.0102707
shapes_6dof_events,2,w/o local verification,Ablation,UseVerification,0,1,123,21,0,0,0,0,0,NaN,NaN,0,0.0023186
shapes_6dof_events,2,w/o global expansion,Ablation,UseGlobalExpansion,0,1,123,21,0,0,0,0,0,NaN,NaN,0,0.0021875
shapes_6dof_events,2,unit estimation weights,Ablation,UseWeights,0,1,123,21,0,0,0,0,0,NaN,NaN,0,0.0024366
shapes_6dof_events,2,unit support tests,Ablation,UseMultiplicitySupport,0,1,123,21,5,0.181818181818182,0.551724137931034,0.273504273504273,0.158415841584158,1,0,0.448275862068966,0.0089607
shapes_6dof_events,3,Full LLGD,Full,-,NaN,1,805,25,10,0.352014010507881,0.654723127035831,0.457858769931663,0.296898079763663,1,0.0348258706467661,0.345276872964169,0.0677883
shapes_6dof_events,3,w/o weighted support,Ablation,UseWeights,0,1,805,25,40,0.896672504378284,0.72112676056338,0.799375487900078,0.665799739921977,1.53333333333333,0.07421875,0.27887323943662,0.0757661
shapes_6dof_events,3,w/o local verification,Ablation,UseVerification,0,1,805,25,12,0.567425569176883,0.758782201405152,0.649298597194389,0.480712166172107,1,0.0679012345679012,0.241217798594848,0.0340287
shapes_6dof_events,3,w/o global expansion,Ablation,UseGlobalExpansion,0,1,805,25,15,0.211908931698774,0.654054054054054,0.32010582010582,0.190551181102362,1.8,0,0.345945945945946,0.0872198
