Dataset,Experiment,Category,Parameter,Value,Runs,Packets,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,FragmentationN,MergeError,MergeErrorN,ExtraEventRatio,RuntimeSeconds,RuntimeStd
shapes_6dof_events,Full LLGD,Full,-,NaN,30,30,1756.56666666667,30.2,21.1,0.581932645226302,0.710809859832798,0.627064192599971,0.475750118488772,1.08181364499823,29,0.0623262258195037,29,0.255856806833869,0.120089013333333,0.05925223611246
shapes_6dof_events,w/o weighted support,Ablation,UseWeights,0,30,30,1756.56666666667,30.2,59.7,0.911822763866012,0.702767716173028,0.788276113302834,0.658682831937097,1.64856330371144,30,0.0694938841730744,30,0.297232283826972,0.12900847,0.0584946281937431
shapes_6dof_events,w/o local verification,Ablation,UseVerification,0,30,30,1756.56666666667,30.2,23.6333333333333,0.653734388978357,0.711766516944452,0.670170128117422,0.522313012096079,1.03402152335642,29,0.0613517073849617,29,0.254900149722214,0.0917756766666667,0.0504535516833787
shapes_6dof_events,w/o global expansion,Ablation,UseGlobalExpansion,0,30,30,1756.56666666667,30.2,51.9666666666667,0.418745670046193,0.697236863040209,0.502577401749005,0.35397900814639,2.61375298129862,29,0.0315793991642877,29,0.269429803626458,0.143693436666667,0.0637186430755335
shapes_6dof_events,unit estimation weights,Ablation,UseWeights,0,30,30,1756.56666666667,30.2,21.8666666666667,0.583241406037113,0.707102665461438,0.625844108072981,0.474191606406109,1.10000087809418,29,0.0641054839699158,29,0.259564001205229,0.132035293333333,0.0763830414314949
shapes_6dof_events,unit support tests,Ablation,UseMultiplicitySupport,0,30,30,1756.56666666667,30.2,57.7,0.911673013463833,0.703261914139428,0.788512426349472,0.658896091833942,1.57053245247397,30,0.0719903097032694,30,0.296738085860572,0.129519663333333,0.0603965126833209
urban_events,Full LLGD,Full,-,NaN,30,30,10946.8333333333,96.2666666666667,54.7,0.400809014704069,0.282085443862751,0.300962712574371,0.187026325276006,1.08974358974359,26,0.400232692410183,30,0.717914556137249,1.26219998,1.23771279536151
urban_events,w/o weighted support,Ablation,UseWeights,0,30,30,10946.8333333333,96.2666666666667,218.3,0.876833232764639,0.344562316604653,0.488355013543237,0.326922077937026,1.53548572426076,30,0.4514717171115,30,0.655437683395347,1.58917299,1.53789328124931
urban_events,w/o local verification,Ablation,UseVerification,0,30,30,10946.8333333333,96.2666666666667,77.7,0.431768942663007,0.30760344809207,0.335885671004946,0.210107061159825,1.13973727422003,29,0.360493706104203,30,0.69239655190793,0.952696626666667,0.851179990958907
urban_events,w/o global expansion,Ablation,UseGlobalExpansion,0,30,30,10946.8333333333,96.2666666666667,173.166666666667,0.208924999331048,0.24792510020949,0.2069055314049,0.119839968252789,2.71611780930321,28,0.0523566667570768,30,0.752074899790509,0.833508606666667,0.51306315852121
urban_events,unit estimation weights,Ablation,UseWeights,0,30,30,10946.8333333333,96.2666666666667,51.5666666666667,0.421564298903747,0.287145712190713,0.313485995213261,0.195927580882282,1.2097619047619,25,0.447353025042548,30,0.712854287809287,1.30303335,1.24921154542752
urban_events,unit support tests,Ablation,UseMultiplicitySupport,0,30,30,10946.8333333333,96.2666666666667,202.166666666667,0.878269582284826,0.343184456138292,0.487300937876257,0.326000725561337,1.55860388975903,30,0.478073489092077,30,0.656815543861708,1.58280222333333,1.61938031120403
office_spiral_events,Full LLGD,Full,-,NaN,30,30,10556.9666666667,75,35.8,0.529802464242626,0.383528305874211,0.401844588369054,0.254148579795919,1.12055981055981,30,0.369718040966466,30,0.616471694125789,1.18437750666667,1.14407828455523
office_spiral_events,w/o weighted support,Ablation,UseWeights,0,30,30,10556.9666666667,75,195.233333333333,0.925354328428935,0.315662626437878,0.467279063974213,0.306608259169729,1.62350719713376,30,0.4359089508172,30,0.684337373562122,1.48387996333333,1.31648332712519
office_spiral_events,w/o local verification,Ablation,UseVerification,0,30,30,10556.9666666667,75,76.3333333333333,0.573527957276815,0.374229626156084,0.425737860181845,0.273310328538751,1.10202340734949,30,0.215597680675942,30,0.625770373843916,0.812526016666666,0.855630006245545
office_spiral_events,w/o global expansion,Ablation,UseGlobalExpansion,0,30,30,10556.9666666667,75,170.533333333333,0.339084138809671,0.40721337664707,0.337555180219165,0.2093399001397,3.00519950655759,30,0.0329795258388482,30,0.59278662335293,0.791545276666667,0.406142522141292
office_spiral_events,unit estimation weights,Ablation,UseWeights,0,30,30,10556.9666666667,75,33.5666666666667,0.537905446928064,0.383799968063869,0.402040663094311,0.254043851695434,1.11299462313661,29,0.394483583091199,30,0.616200031936131,1.25415284666667,1.18200969292236
office_spiral_events,unit support tests,Ablation,UseMultiplicitySupport,0,30,30,10556.9666666667,75,201.833333333333,0.919244392686932,0.315206368682282,0.466043197700776,0.30557237884009,1.50231142006229,29,0.42629824863705,30,0.684793631317718,1.53052071333333,1.3852844914573
