Sample,Case,Multiplicity,NoiseRatio,Rotation,Opening,Repeat,Variant,AngleTolerance,DistanceTolerance,TrueLines,PredictedLines,MatchedLines,ExactRecovery,CountCorrect,Accepted
1,noise,1,1,0,90,1,Full,10,0.75,0,0,0,1,1,0
1,noise,1,1,0,90,1,Full,15,1,0,0,0,1,1,0
1,noise,1,1,0,90,1,Full,20,1.25,0,0,0,1,1,0
1,noise,1,1,0,90,1,Initial RANSAC,10,0.75,0,0,0,1,1,0
1,noise,1,1,0,90,1,Initial RANSAC,15,1,0,0,0,1,1,0
1,noise,1,1,0,90,1,Initial RANSAC,20,1.25,0,0,0,1,1,0
1,noise,1,1,0,90,1,Inlier ratio only,10,0.75,0,0,0,1,1,0
1,noise,1,1,0,90,1,Inlier ratio only,15,1,0,0,0,1,1,0
1,noise,1,1,0,90,1,Inlier ratio only,20,1.25,0,0,0,1,1,0
2,noise,1,1,0,90,2,Full,10,0.75,0,0,0,1,1,0
2,noise,1,1,0,90,2,Full,15,1,0,0,0,1,1,0
2,noise,1,1,0,90,2,Full,20,1.25,0,0,0,1,1,0
2,noise,1,1,0,90,2,Initial RANSAC,10,0.75,0,1,0,0,0,1
2,noise,1,1,0,90,2,Initial RANSAC,15,1,0,1,0,0,0,1
2,noise,1,1,0,90,2,Initial RANSAC,20,1.25,0,1,0,0,0,1
2,noise,1,1,0,90,2,Inlier ratio only,10,0.75,0,0,0,1,1,0
2,noise,1,1,0,90,2,Inlier ratio only,15,1,0,0,0,1,1,0
2,noise,1,1,0,90,2,Inlier ratio only,20,1.25,0,0,0,1,1,0
3,noise,1,1,0,90,3,Full,10,0.75,0,0,0,1,1,0
3,noise,1,1,0,90,3,Full,15,1,0,0,0,1,1,0
3,noise,1,1,0,90,3,Full,20,1.25,0,0,0,1,1,0
3,noise,1,1,0,90,3,Initial RANSAC,10,0.75,0,1,0,0,0,1
3,noise,1,1,0,90,3,Initial RANSAC,15,1,0,1,0,0,0,1
3,noise,1,1,0,90,3,Initial RANSAC,20,1.25,0,1,0,0,0,1
3,noise,1,1,0,90,3,Inlier ratio only,10,0.75,0,0,0,1,1,0
3,noise,1,1,0,90,3,Inlier ratio only,15,1,0,0,0,1,1,0
3,noise,1,1,0,90,3,Inlier ratio only,20,1.25,0,0,0,1,1,0
4,noise,1,1,0,90,4,Full,10,0.75,0,0,0,1,1,0
4,noise,1,1,0,90,4,Full,15,1,0,0,0,1,1,0
4,noise,1,1,0,90,4,Full,20,1.25,0,0,0,1,1,0
4,noise,1,1,0,90,4,Initial RANSAC,10,0.75,0,1,0,0,0,1
4,noise,1,1,0,90,4,Initial RANSAC,15,1,0,1,0,0,0,1
4,noise,1,1,0,90,4,Initial RANSAC,20,1.25,0,1,0,0,0,1
4,noise,1,1,0,90,4,Inlier ratio only,10,0.75,0,0,0,1,1,0
4,noise,1,1,0,90,4,Inlier ratio only,15,1,0,0,0,1,1,0
4,noise,1,1,0,90,4,Inlier ratio only,20,1.25,0,0,0,1,1,0
5,noise,1,1,0,90,5,Full,10,0.75,0,0,0,1,1,0
5,noise,1,1,0,90,5,Full,15,1,0,0,0,1,1,0
5,noise,1,1,0,90,5,Full,20,1.25,0,0,0,1,1,0
5,noise,1,1,0,90,5,Initial RANSAC,10,0.75,0,1,0,0,0,1
5,noise,1,1,0,90,5,Initial RANSAC,15,1,0,1,0,0,0,1
5,noise,1,1,0,90,5,Initial RANSAC,20,1.25,0,1,0,0,0,1
5,noise,1,1,0,90,5,Inlier ratio only,10,0.75,0,0,0,1,1,0
5,noise,1,1,0,90,5,Inlier ratio only,15,1,0,0,0,1,1,0
5,noise,1,1,0,90,5,Inlier ratio only,20,1.25,0,0,0,1,1,0
6,noise,1,1,15,90,1,Full,10,0.75,0,0,0,1,1,0
6,noise,1,1,15,90,1,Full,15,1,0,0,0,1,1,0
6,noise,1,1,15,90,1,Full,20,1.25,0,0,0,1,1,0
6,noise,1,1,15,90,1,Initial RANSAC,10,0.75,0,1,0,0,0,1
6,noise,1,1,15,90,1,Initial RANSAC,15,1,0,1,0,0,0,1
6,noise,1,1,15,90,1,Initial RANSAC,20,1.25,0,1,0,0,0,1
6,noise,1,1,15,90,1,Inlier ratio only,10,0.75,0,0,0,1,1,0
6,noise,1,1,15,90,1,Inlier ratio only,15,1,0,0,0,1,1,0
6,noise,1,1,15,90,1,Inlier ratio only,20,1.25,0,0,0,1,1,0
7,noise,1,1,15,90,2,Full,10,0.75,0,0,0,1,1,0
7,noise,1,1,15,90,2,Full,15,1,0,0,0,1,1,0
7,noise,1,1,15,90,2,Full,20,1.25,0,0,0,1,1,0
7,noise,1,1,15,90,2,Initial RANSAC,10,0.75,0,0,0,1,1,0
7,noise,1,1,15,90,2,Initial RANSAC,15,1,0,0,0,1,1,0
7,noise,1,1,15,90,2,Initial RANSAC,20,1.25,0,0,0,1,1,0
7,noise,1,1,15,90,2,Inlier ratio only,10,0.75,0,0,0,1,1,0
7,noise,1,1,15,90,2,Inlier ratio only,15,1,0,0,0,1,1,0
7,noise,1,1,15,90,2,Inlier ratio only,20,1.25,0,0,0,1,1,0
8,noise,1,1,15,90,3,Full,10,0.75,0,0,0,1,1,0
8,noise,1,1,15,90,3,Full,15,1,0,0,0,1,1,0
8,noise,1,1,15,90,3,Full,20,1.25,0,0,0,1,1,0
8,noise,1,1,15,90,3,Initial RANSAC,10,0.75,0,0,0,1,1,0
8,noise,1,1,15,90,3,Initial RANSAC,15,1,0,0,0,1,1,0
8,noise,1,1,15,90,3,Initial RANSAC,20,1.25,0,0,0,1,1,0
8,noise,1,1,15,90,3,Inlier ratio only,10,0.75,0,0,0,1,1,0
8,noise,1,1,15,90,3,Inlier ratio only,15,1,0,0,0,1,1,0
8,noise,1,1,15,90,3,Inlier ratio only,20,1.25,0,0,0,1,1,0
9,noise,1,1,15,90,4,Full,10,0.75,0,0,0,1,1,0
9,noise,1,1,15,90,4,Full,15,1,0,0,0,1,1,0
9,noise,1,1,15,90,4,Full,20,1.25,0,0,0,1,1,0
9,noise,1,1,15,90,4,Initial RANSAC,10,0.75,0,0,0,1,1,0
9,noise,1,1,15,90,4,Initial RANSAC,15,1,0,0,0,1,1,0
9,noise,1,1,15,90,4,Initial RANSAC,20,1.25,0,0,0,1,1,0
9,noise,1,1,15,90,4,Inlier ratio only,10,0.75,0,0,0,1,1,0
9,noise,1,1,15,90,4,Inlier ratio only,15,1,0,0,0,1,1,0
9,noise,1,1,15,90,4,Inlier ratio only,20,1.25,0,0,0,1,1,0
10,noise,1,1,15,90,5,Full,10,0.75,0,0,0,1,1,0
10,noise,1,1,15,90,5,Full,15,1,0,0,0,1,1,0
10,noise,1,1,15,90,5,Full,20,1.25,0,0,0,1,1,0
10,noise,1,1,15,90,5,Initial RANSAC,10,0.75,0,1,0,0,0,1
