Filename,EventCount,ClusterCount,SegmentCount,RuntimeSeconds
000010.png,109131,103,102,36.9038338
000012.png,50299,81,81,10.09846
000020.png,132098,64,62,56.4952574
000024.png,26349,1,0,8.0946414
000025.png,56660,33,32,19.0236556
000026.png,134239,103,100,85.25868
000029.png,66590,47,45,12.1705418
000033.png,48537,59,57,5.7975884
000037.png,126472,50,48,227.5829565
000042.png,19261,25,25,1.9013423
000043.png,52578,77,77,10.6456426
000044.png,64863,34,32,22.7189157
000048.png,88701,34,31,38.8956488
000054.png,37696,3,1,12.0070118
000058.png,78416,48,45,23.1797294
000059.png,36224,36,36,14.5079736
000068.png,78100,83,80,19.0387564
000071.png,56549,15,15,50.3794616
000073.png,75726,24,22,74.1540263
000081.png,90009,30,29,94.2273802
000083.png,121538,36,34,56.4314623
000085.png,54339,37,35,15.8272049
000087.png,128623,73,72,96.6889011
000088.png,17262,26,25,4.5988238
000092.png,90044,6,3,43.4556564
000095.png,18692,68,67,1.921903
000096.png,74374,78,78,34.0983815
000099.png,33496,83,79,3.7882228
000100.png,35352,128,125,4.3658188
000111.png,22610,92,92,3.4048397
000112.png,128411,44,41,147.8688523
000116.png,49809,70,70,18.1002505
000118.png,30098,18,18,36.0268967
000120.png,167696,42,40,187.2595377
000122.png,77515,19,14,37.5978859
000124.png,29198,23,23,7.9716506
000129.png,49442,23,22,105.3095279
000130.png,140124,125,119,45.4630208
000131.png,107973,22,16,93.237583
000132.png,95423,90,90,47.5078759
000139.png,57653,42,40,14.2189798
000140.png,128598,61,52,61.1344598
000144.png,63767,126,126,19.7158119
000148.png,145867,25,15,152.7975448
000149.png,96287,67,63,61.927653
000150.png,23707,70,69,3.4778157
000152.png,63812,99,98,12.57601
000153.png,88258,133,131,21.0895157
000167.png,74390,83,82,73.4240686
000170.png,67585,75,75,41.4724296
000175.png,73601,84,84,40.2124368
000178.png,38355,172,171,3.9575455
000181.png,58507,82,81,17.3630517
000183.png,30241,16,14,6.4425553
000184.png,59968,161,154,10.0432423
000185.png,160821,27,21,130.754513
000193.png,95666,158,154,24.0195954
000198.png,72442,29,20,32.0042605
000202.png,71233,79,76,14.9361683
000204.png,128822,96,92,49.2034447
000208.png,52857,20,13,17.7354805
000210.png,62511,73,72,16.164607
000213.png,40653,29,26,8.4108282
000217.png,35686,92,92,8.0139075
000227.png,136416,75,67,116.0806338
000228.png,80637,99,95,18.3553885
000229.png,44446,102,100,5.9533004
000235.png,56125,78,77,15.775021
000245.png,27082,46,46,5.5525559
000249.png,130244,117,115,59.1993328
000257.png,95828,163,161,22.8866652
000258.png,52254,47,43,8.3306186
000261.png,91738,18,14,64.3233196
000266.png,42486,78,78,4.0252248
000270.png,75758,55,48,17.1361906
000274.png,21059,41,41,6.9884722
000275.png,53952,55,54,17.8762633
000276.png,9526,5,3,4.0891232
000278.png,52676,41,40,18.3756156
000281.png,181226,36,31,95.2254162
000287.png,38420,27,25,7.0773279
000288.png,67903,45,44,14.1595259
000289.png,30216,34,33,4.8580446
000292.png,151848,17,10,109.8296732
000293.png,94498,92,88,14.8073441
000297.png,85978,21,15,42.8694676
000306.png,90326,53,50,22.2434739
000308.png,17447,36,36,2.6955875
000315.png,115202,66,63,44.1896446
000322.png,124780,31,27,90.6631297
000324.png,57031,40,40,28.7425119
000325.png,68171,60,57,12.8764525
000327.png,111984,56,53,53.9856136
000329.png,53481,94,93,7.9918083
000336.png,82144,178,176,12.2333539
000350.png,65557,153,153,10.9796316
000360.png,99381,28,25,49.1875783
000369.png,62052,97,93,9.2010792
000371.png,73400,187,186,11.9970627
000372.png,127899,27,21,84.206861
000374.png,23065,32,32,4.7015422
000378.png,13367,44,44,0.9977346
000382.png,42066,57,53,6.9122849
000384.png,105109,30,25,64.22637
000388.png,115539,103,103,80.6136216
000389.png,11430,39,39,1.9388456
000397.png,108798,13,7,61.9291381
000399.png,51596,31,31,41.1651838
000411.png,28100,106,106,3.1962368
000412.png,25560,21,21,6.8376423
000422.png,67550,6,3,35.3522477
000424.png,90939,20,16,46.4581868
000431.png,59437,18,16,16.3076625
000432.png,12314,20,20,4.2655686
000439.png,73693,46,42,26.7489835
000443.png,35584,44,44,6.6718468
000445.png,79314,23,21,39.0241345
000446.png,21540,68,67,2.5377071
000449.png,73879,43,43,28.9001189
000451.png,25508,44,44,2.3282183
000460.png,109425,28,24,73.0398178
000462.png,21063,35,35,3.2060864
000465.png,144141,16,12,143.1522558
000470.png,43451,73,72,16.0428684
000473.png,39916,100,100,8.8176922
000487.png,38656,29,29,13.4895446
000489.png,34740,143,143,4.4721336
000508.png,18172,38,38,3.9434437
000511.png,114504,39,30,77.3713018
000513.png,56291,40,39,47.2553731
000516.png,104925,45,41,58.0243736
000526.png,69532,54,54,14.4287856
000529.png,69291,39,36,23.4295953
000538.png,48967,66,63,8.3247194
000540.png,38099,112,112,7.5069815
000544.png,30033,33,33,7.7396695
000545.png,96240,23,18,47.0638515
000551.png,160569,53,50,132.2539977
000552.png,51040,55,52,10.0115996
000553.png,158201,86,84,127.3483972
000555.png,83115,42,39,38.9986145
000556.png,56999,40,39,31.5360219
000560.png,25459,70,70,2.046647
000561.png,13466,35,35,3.2431337
000563.png,56459,42,42,21.2422256
000566.png,64216,138,137,13.5821454
000575.png,26709,14,13,6.3050108
000582.png,111832,55,50,37.9491662
000590.png,69152,31,28,18.5799472
000592.png,26799,10,7,6.0607537
000595.png,26541,13,6,3.37903
000596.png,111275,15,11,84.1552736
000599.png,54330,137,137,6.8038254
000600.png,114788,69,65,35.1813407
