Index,Events,Segments,Seconds
117,12126,71,0.6997311
118,17202,88,1.1085353
119,15334,92,1.0797784
120,15267,74,1.0541384
121,13857,24,2.1920823
122,18207,61,1.406471
123,15794,92,1.3635791
124,14209,87,1.1046994
125,13212,56,0.8469346
126,13097,61,0.8594381
127,12214,51,0.8770961
128,14177,75,1.13685
129,9332,40,0.6407227
130,17059,80,1.4255009
131,11465,49,1.0343829
132,15452,34,1.4570927
133,6069,18,0.4036038
134,13903,65,1.2740907
135,15001,45,1.4718061
136,13633,58,1.1045114
137,12312,38,1.0871166
138,12628,34,1.1406833
139,14840,48,1.5199679
140,14120,38,1.0197451
141,17668,9,2.8037872
142,14291,40,1.451876
143,13395,37,1.522962
144,7656,12,0.8517352
145,8902,15,0.8998563
146,5323,7,0.379645
147,3395,10,0.1779484
148,2409,10,0.1318083
149,3863,3,0.2140999
150,9798,22,0.7367926
151,15667,41,1.283161
152,9201,24,0.7516144
153,13239,33,1.1001442
154,11544,21,1.2002261
155,14002,35,1.5396439
156,13955,49,1.196913
157,8431,31,0.5669762
158,15150,41,1.269044
159,11569,34,0.9127631
160,15834,37,1.7653192
161,12050,44,0.842517
162,15749,52,1.283534
163,11041,38,0.7896531
164,14141,47,1.3788995
165,12165,43,0.9531105
166,10059,26,0.7618423
167,11010,51,0.7811272
168,13847,56,1.3046743
169,13469,56,1.0220938
170,11337,46,0.8421317
171,18931,91,1.626574
172,10079,38,0.7689591
173,10954,30,0.7433968
174,9102,20,0.6372272
175,12929,65,0.8895431
176,12724,76,0.9033472
177,9907,31,0.6479417
178,10873,36,0.6842254
179,4293,15,0.2255297
180,8871,24,0.5312556
181,8565,29,0.5159074
182,6719,14,0.363312
183,15094,96,1.0494314
184,9095,27,0.5692919
185,10960,45,0.7371772
186,8101,20,0.5077884
187,10618,38,0.6477529
188,10724,46,0.6812615
189,9096,48,0.5953122
190,12247,52,0.8493045
191,12394,45,0.9652331
192,13114,60,0.9042999
193,12871,41,0.9408972
194,9291,48,0.6303517
195,13247,63,1.1259087
196,7946,29,0.4870696
197,8401,36,0.5401921
198,12698,72,0.9320294
199,9773,52,0.6958105
200,10688,42,0.6822829
201,9157,47,0.6408549
202,9087,36,0.6535217
203,6718,16,0.4313251
204,10416,60,0.8923574
205,7999,27,0.5019455
206,3221,4,0.1678439
207,6410,24,0.3883259
208,9144,47,0.6235713
209,6545,17,0.3993894
210,9169,38,0.6874079
211,9608,56,0.8761278
212,3093,19,0.2537051
213,13437,50,1.1092457
214,10727,56,0.8143396
215,10799,48,0.7341345
216,10354,60,0.7767714
217,8374,34,0.5846014
218,7605,26,0.6119493
219,9021,49,0.6989727
220,7988,36,0.5864823
221,6718,32,0.498051
