Index,Events,Segments,Seconds
115,19858,120,1.8766371
116,11180,114,0.7213
117,11307,101,0.6795835
118,7382,55,0.4351426
119,7333,59,0.4598
120,5741,40,0.3734078
121,4184,22,0.2402821
122,5992,49,0.3126209
123,9049,79,0.4983668
124,6970,65,0.4092592
125,10362,106,0.6018098
126,3944,20,0.2236935
127,14728,161,0.961896
128,6575,41,0.37155
129,2474,11,0.11686
130,6315,46,0.3587027
131,5043,35,0.2947204
132,3708,20,0.2127961
133,2240,8,0.1279144
134,5615,41,0.3520952
135,5403,42,0.3599108
136,8876,86,0.5375627
137,13434,144,0.867271
138,3614,15,0.171619
139,5453,36,0.3319728
140,3897,8,0.181481
141,6914,65,0.4150563
142,8302,89,0.5406991
143,7170,70,0.3918175
144,13763,131,0.9217793
145,6326,46,0.3630606
146,7292,72,0.4287667
147,4786,37,0.2465526
148,9232,85,0.6449774
149,10423,125,0.6563089
150,8824,76,0.5361609
151,9628,70,0.5574009
152,5320,37,0.2728566
153,6890,71,0.3877941
154,8377,92,0.5464136
155,6375,61,0.3399578
156,9100,108,0.5256357
157,5486,35,0.2810971
158,8249,70,0.4939333
159,7882,79,0.4522008
160,4267,24,0.2205064
161,6962,56,0.4223389
162,6929,51,0.4065997
163,14148,61,1.3782484
164,9135,98,0.5315506
165,17427,48,2.2289
166,14239,39,1.6853836
167,13430,136,0.8017021
168,20907,77,2.3234362
169,3261,23,0.1797542
170,13013,12,1.8984266
171,18994,79,1.7820679
172,12081,142,0.6949116
173,15025,155,0.93882
174,16365,93,1.4302198
175,12880,103,0.7262838
176,9212,76,0.5437165
177,3457,15,0.1949414
178,6673,43,0.3830704
179,5887,36,0.3092235
180,15212,96,1.0940754
181,15180,131,0.9592558
182,15198,67,1.3315585
183,13957,123,0.8828706
184,13045,115,0.8210684
185,7474,60,0.4948392
186,14288,124,0.8781972
187,14371,140,0.8679536
188,17022,109,1.1786958
189,14152,136,0.8812756
190,14540,123,0.9690497
191,14165,116,0.9511617
192,18097,117,1.2789019
193,11269,98,0.6474913
194,8833,74,0.5263158
195,12666,115,0.8447467
196,8495,64,0.5192772
197,10434,89,0.632779
198,11553,55,0.9799704
199,16964,72,1.7521966
200,20988,45,2.6362084
201,16764,62,1.7530772
202,9119,63,0.5960462
203,13148,111,0.8108109
204,3558,10,0.15405
205,5104,32,0.2817193
206,12768,106,0.8586006
207,19702,14,4.2882764
208,11428,32,0.8926566
209,24644,69,3.2171386
210,25144,16,4.4785051
211,11282,16,1.6013481
212,23881,46,3.7044541
213,8399,36,0.6806666
214,18714,51,2.9455468
215,24606,11,5.7357634
216,19612,44,3.0431326
217,14607,162,0.930811
218,11143,113,0.6334673
219,7001,37,0.3827891
220,9297,68,0.5575366
221,15965,154,1.0446524
222,11684,121,0.6890185
223,17749,156,1.2952182
224,23522,91,2.6947592
225,19176,48,2.7550008
226,13954,79,1.274627
227,11274,119,0.7632849
