Sequence,Variant,Tolerance,Frames,Matched,Predicted,Reference,Precision,Recall,F1
urban,Full LLGD,3,130,56406,105782,403963,0.5332287156605093,0.1396315999237554,0.22131065532766384
urban,Full LLGD,6,130,67271,105782,403963,0.6359399519767068,0.1665276275302441,0.2639398130437768
urban,Full LLGD,9,130,75406,105782,403963,0.7128433949065058,0.1866656104643247,0.2958577327879626
urban,w/o local verification,3,130,96569,177166,403963,0.5450763690550106,0.23905407178380197,0.3323496160060847
urban,w/o local verification,6,130,112609,177166,403963,0.6356129279884403,0.2787606785769984,0.38755250555384435
urban,w/o local verification,9,130,124866,177166,403963,0.7047966314078322,0.30910256632414357,0.4297359106153711
office_spiral,Full LLGD,3,113,55962,97436,266966,0.5743462375302762,0.20962219908153099,0.3071443076602214
office_spiral,Full LLGD,6,113,68734,97436,266966,0.7054271521819451,0.2574634972243656,0.3772427154625935
office_spiral,Full LLGD,9,113,75676,97436,266966,0.7766739192906112,0.2834668085074504,0.4153434942728086
office_spiral,w/o local verification,3,113,97032,189917,266966,0.5109179273050859,0.36346201388940913,0.42475644749312186
office_spiral,w/o local verification,6,113,117609,189917,266966,0.6192652579811181,0.4405392446978267,0.5148320248291138
office_spiral,w/o local verification,9,113,129309,189917,266966,0.6808711173828568,0.4843650502311156,0.5660486382728181
hqf_boxes,Full LLGD,3,105,60167,86722,332140,0.6937916560964923,0.18114951526464743,0.28728793731587016
hqf_boxes,Full LLGD,6,105,71681,86722,332140,0.8265607343004082,0.21581561991931114,0.3422654716827977
hqf_boxes,Full LLGD,9,105,77435,86722,332140,0.8929106801042411,0.23313963991088096,0.36973991433932896
hqf_boxes,w/o local verification,3,105,89406,137769,332140,0.6489558608975895,0.26918167037996027,0.380524739896448
hqf_boxes,w/o local verification,6,105,105136,137769,332140,0.7631324898925013,0.3165412175588607,0.4474738726008653
hqf_boxes,w/o local verification,9,105,113118,137769,332140,0.8210700520436383,0.34057325224303003,0.4814464077087266
