Index,Events,Segments,Seconds
131,8192,73,0.5752684
132,19157,137,1.8513962
133,9420,76,0.5310252
134,6944,88,0.4580007
135,20673,159,2.1049804
136,8914,73,0.8410853
137,22169,111,2.8267958
138,12008,119,0.8362405
139,17801,160,1.3782828
140,8112,59,0.4882165
141,12840,113,0.9003065
142,10756,104,0.8055549
143,15333,126,1.4177938
144,19081,140,2.0689782
145,24294,55,5.7205851
146,12257,128,1.0409762
147,15138,117,1.5528861
148,10048,81,0.7869394
149,5395,72,0.3927049
150,5229,65,0.3427909
151,5282,65,0.3225333
152,7088,81,0.4444321
153,8904,103,0.598572
154,13572,98,1.3144099
155,12887,112,0.8903053
156,22920,68,4.9430585
157,9959,86,0.7470636
158,19258,144,1.6350238
159,11771,106,0.8288392
160,14789,125,1.0524731
161,7894,63,0.549881
162,13379,91,0.9937261
163,10367,71,0.6598048
164,12314,96,0.8852607
165,9043,75,0.5858572
166,17712,150,1.3301028
167,4720,80,0.3193717
168,12977,107,0.8962627
169,6786,57,0.4047784
170,10551,93,0.7881939
171,12000,97,1.1611143
172,10302,76,0.7426277
173,6730,52,0.436462
174,13083,107,0.9903026
175,13558,129,0.9414226
176,7478,78,0.4743539
177,11915,49,1.6791866
178,6447,69,0.3962526
179,13803,129,0.9408574
180,18661,146,1.440757
181,14897,97,1.0779392
182,10573,96,0.7537959
183,10880,71,0.8327331
184,8124,56,0.4701662
185,5913,39,0.3264799
186,8896,66,0.566223
187,19754,17,3.7437698
188,23107,99,2.3258137
189,11144,104,0.7085262
190,13963,21,2.6026061
191,10618,58,0.6501729
192,11075,66,0.7386082
193,11087,80,0.6891235
194,12731,125,0.9089596
195,2686,48,0.1358882
196,4770,47,0.2511926
197,7917,72,0.5107669
198,8082,70,0.4845331
199,16127,100,1.3433006
200,10019,110,0.6042807
201,21173,23,5.1258857
202,6849,54,0.4157079
203,11992,68,0.7532706
204,4606,24,0.2630858
205,11331,79,0.7022221
206,4144,35,0.2076649
207,6162,29,0.342687
208,5404,28,0.3083734
209,7726,63,0.4494642
210,3182,27,0.1836794
211,14540,102,0.9465949
212,6766,38,0.360554
213,5826,26,0.3033284
214,9408,70,0.5906613
215,5343,27,0.2731186
216,7224,35,0.4113411
217,4939,23,0.2474709
218,8809,48,0.5967209
219,3140,21,0.153541
220,2833,24,0.1397133
221,10495,64,0.7032408
222,12209,80,0.7322131
223,7757,52,0.4489744
224,2535,21,0.1257432
225,4351,21,0.2162414
226,3376,24,0.1806801
227,5225,45,0.3133345
228,3103,30,0.160129
229,5340,42,0.3308153
230,5679,23,0.3189301
231,12069,87,0.8460966
232,4813,36,0.2516148
233,11425,63,0.6949533
234,8228,64,0.5002244
235,6090,34,0.3288766
236,6869,51,0.3913585
237,8563,47,0.4989964
238,3972,23,0.189339
239,7262,41,0.3990789
240,4475,21,0.2321348
241,4884,22,0.2376514
242,15976,91,1.2300874
243,19224,66,2.0122083
244,10174,52,0.6382665
245,8419,42,0.5202413
246,2964,17,0.1485458
247,3475,21,0.1692408
248,1083,7,0.0394095
249,4373,35,0.2510218
250,2757,12,0.1268161
251,8673,37,0.5339337
252,13827,50,1.1076243
253,8029,47,0.4607267
254,11347,52,0.8207001
255,10102,51,0.6587779
256,7905,32,0.4990415
257,10434,65,0.6557097
258,10966,65,0.7163166
259,7551,42,0.4065541
260,5310,20,0.2689713
