Dataset,Packet,Experiment,Category,Parameter,Value,Repeat,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,MergeError,ExtraEventRatio,RuntimeSeconds
office_spiral_events,1,Full LLGD,Full,-,NaN,1,18073,81,118,0.674351585014409,0.332229058211074,0.445149017121116,0.286296900489396,1.09090909090909,0.223646723646724,0.667770941788926,1.493414
office_spiral_events,1,w/o weighted support,Ablation,UseWeights,0,1,18073,81,165,0.972910662824207,0.29226063369308,0.449494052902539,0.289901534234028,1.13333333333333,0.637243285939968,0.70773936630692,2.7517671
office_spiral_events,1,w/o local verification,Ablation,UseVerification,0,1,18073,81,180,0.775408261287224,0.326642926513435,0.459654917145948,0.298410351201479,1,0.144449950445986,0.673357073486565,1.0691681
office_spiral_events,1,w/o global expansion,Ablation,UseGlobalExpansion,0,1,18073,81,402,0.56388088376561,0.34001390176089,0.424224904242249,0.269216657494038,3.67741935483871,0.0412265758091993,0.65998609823911,1.4963896
office_spiral_events,1,unit estimation weights,Ablation,UseWeights,0,1,18073,81,110,0.702785782901057,0.338578304331729,0.456992941470423,0.296170350578901,1.08333333333333,0.212684527063969,0.661421695668271,1.4833773
office_spiral_events,1,unit support tests,Ablation,UseMultiplicitySupport,0,1,18073,81,153,0.965225744476465,0.289651196310176,0.445587583148559,0.286659819696451,1.41666666666667,0.705812101910828,0.710348803689824,2.6162996
office_spiral_events,1,MAD = 3,Sensitivity,MAD,3,1,18073,81,115,0.681460134486071,0.325263640531866,0.440347610180013,0.282337021412083,1,0.22892585283338,0.674736359468134,1.6702729
office_spiral_events,1,MAD = 3.5,Sensitivity,MAD,3.5,1,18073,81,118,0.674351585014409,0.332229058211074,0.445149017121116,0.286296900489396,1.09090909090909,0.223646723646724,0.667770941788926,1.4716525
office_spiral_events,1,MAD = 4,Sensitivity,MAD,4,1,18073,81,143,0.732756964457253,0.320854715235131,0.446290662298151,0.287242054526284,1.08333333333333,0.191662296801259,0.679145284764869,1.231009
office_spiral_events,1,p_in = 0.7,Sensitivity,p_in,0.7,1,18073,81,102,0.705859750240154,0.315798521574695,0.436367955341766,0.279073300417774,1.08333333333333,0.265650517147523,0.684201478425305,1.4831393
office_spiral_events,1,p_in = 0.8,Sensitivity,p_in,0.8,1,18073,81,118,0.674351585014409,0.332229058211074,0.445149017121116,0.286296900489396,1.09090909090909,0.223646723646724,0.667770941788926,1.4488085
office_spiral_events,1,p_in = 0.9,Sensitivity,p_in,0.9,1,18073,81,101,0.718731988472622,0.313133004101448,0.436217350746269,0.278950115576765,1.125,0.360866078588613,0.686866995898552,1.6968442
office_spiral_events,1,p_w = 0.7,Sensitivity,p_w,0.7,1,18073,81,90,0.716618635926993,0.320419207971824,0.442835094384424,0.284385483379079,1.3,0.288739946380697,0.679580792028176,1.5061938
office_spiral_events,1,p_w = 0.8,Sensitivity,p_w,0.8,1,18073,81,118,0.674351585014409,0.332229058211074,0.445149017121116,0.286296900489396,1.09090909090909,0.223646723646724,0.667770941788926,1.5856339
office_spiral_events,1,p_w = 0.9,Sensitivity,p_w,0.9,1,18073,81,105,0.689337175792507,0.328541342367915,0.444995659183927,0.28617004306907,1.11111111111111,0.246655518394649,0.671458657632085,1.5213891
office_spiral_events,1,overlap = 0.7,Sensitivity,overlap,0.7,1,18073,81,118,0.674351585014409,0.332229058211074,0.445149017121116,0.286296900489396,1.09090909090909,0.223646723646724,0.667770941788926,1.5567183
office_spiral_events,1,overlap = 0.8,Sensitivity,overlap,0.8,1,18073,81,118,0.674351585014409,0.332229058211074,0.445149017121116,0.286296900489396,1.09090909090909,0.223646723646724,0.667770941788926,1.5103687
office_spiral_events,1,overlap = 0.9,Sensitivity,overlap,0.9,1,18073,81,112,0.668011527377522,0.334842064714946,0.446083777022259,0.287070673712021,1.09090909090909,0.219442047742307,0.665157935285054,1.4255452
office_spiral_events,1,eps_s = 0.015,Sensitivity,eps_s,0.015,1,18073,81,158,0.675504322766571,0.340203193033382,0.452509652509653,0.292415169660679,1.26315789473684,0.111205915813424,0.659796806966618,1.3873509
office_spiral_events,1,eps_s = 0.02,Sensitivity,eps_s,0.02,1,18073,81,118,0.674351585014409,0.332229058211074,0.445149017121116,0.286296900489396,1.09090909090909,0.223646723646724,0.667770941788926,1.3990013
