Dataset,Packet,Experiment,Category,Parameter,Value,Repeat,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,MergeError,ExtraEventRatio,RuntimeSeconds
shapes_6dof_events,1,Full LLGD,Full,-,NaN,1,585,25,8,0.237864077669903,0.56,0.333901192504259,0.20040899795501,1,0.0102040816326531,0.44,0.0546343
shapes_6dof_events,1,w/o weighted support,Ablation,UseWeights,0,1,585,25,31,0.902912621359223,0.722330097087379,0.802588996763754,0.67027027027027,1.23076923076923,0.0403225806451613,0.277669902912621,0.1395177
shapes_6dof_events,1,w/o local verification,Ablation,UseVerification,0,1,585,25,9,0.383495145631068,0.672340425531915,0.488408037094281,0.323108384458078,1,0.0189873417721519,0.327659574468085,0.0301855
shapes_6dof_events,1,w/o global expansion,Ablation,UseGlobalExpansion,0,1,585,25,9,0.174757281553398,0.549618320610687,0.265193370165746,0.152866242038217,1.33333333333333,0,0.450381679389313,0.0618598
shapes_6dof_events,1,unit estimation weights,Ablation,UseWeights,0,1,585,25,8,0.237864077669903,0.56,0.333901192504259,0.20040899795501,1,0.0102040816326531,0.44,0.0400951
shapes_6dof_events,1,unit support tests,Ablation,UseMultiplicitySupport,0,1,585,25,32,0.910194174757282,0.721153846153846,0.804721030042919,0.673249551166966,1.21428571428571,0.0373333333333333,0.278846153846154,0.0702492
shapes_6dof_events,1,MAD = 3,Sensitivity,MAD,3,1,585,25,8,0.230582524271845,0.552325581395349,0.325342465753425,0.194274028629857,1,0,0.447674418604651,0.0430269
shapes_6dof_events,1,MAD = 3.5,Sensitivity,MAD,3.5,1,585,25,8,0.237864077669903,0.56,0.333901192504259,0.20040899795501,1,0.0102040816326531,0.44,0.0440414
shapes_6dof_events,1,MAD = 4,Sensitivity,MAD,4,1,585,25,8,0.240291262135922,0.5625,0.336734693877551,0.202453987730061,1,0.0101010101010101,0.4375,0.042676
shapes_6dof_events,1,p_in = 0.7,Sensitivity,p_in,0.7,1,585,25,8,0.237864077669903,0.56,0.333901192504259,0.20040899795501,1,0.0102040816326531,0.44,0.0387058
shapes_6dof_events,1,p_in = 0.8,Sensitivity,p_in,0.8,1,585,25,8,0.237864077669903,0.56,0.333901192504259,0.20040899795501,1,0.0102040816326531,0.44,0.0349295
shapes_6dof_events,1,p_in = 0.9,Sensitivity,p_in,0.9,1,585,25,6,0.216019417475728,0.659259259259259,0.325411334552102,0.194323144104804,1,0.0112359550561798,0.340740740740741,0.047339
shapes_6dof_events,1,p_w = 0.7,Sensitivity,p_w,0.7,1,585,25,8,0.237864077669903,0.56,0.333901192504259,0.20040899795501,1,0.0102040816326531,0.44,0.0340205
shapes_6dof_events,1,p_w = 0.8,Sensitivity,p_w,0.8,1,585,25,8,0.237864077669903,0.56,0.333901192504259,0.20040899795501,1,0.0102040816326531,0.44,0.0335774
shapes_6dof_events,1,p_w = 0.9,Sensitivity,p_w,0.9,1,585,25,8,0.237864077669903,0.56,0.333901192504259,0.20040899795501,1,0.0102040816326531,0.44,0.0451832
