Dataset,Experiment,Category,Parameter,Value,Runs,Packets,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,FragmentationN,MergeError,MergeErrorN,ExtraEventRatio,RuntimeSeconds,RuntimeStd
shapes_6dof_events,Full LLGD,Full,-,NaN,30,30,1756.56666666667,30.2,21.1,0.581932645226302,0.710809859832798,0.627064192599971,0.475750118488772,1.08181364499823,29,0.0623262258195037,29,0.255856806833869,0.120089013333333,0.05925223611246
shapes_6dof_events,w/o weighted support,Ablation,UseWeights,0,30,30,1756.56666666667,30.2,59.7,0.911822763866012,0.702767716173028,0.788276113302834,0.658682831937097,1.64856330371144,30,0.0694938841730744,30,0.297232283826972,0.12900847,0.0584946281937431
shapes_6dof_events,w/o local verification,Ablation,UseVerification,0,30,30,1756.56666666667,30.2,23.6333333333333,0.653734388978357,0.711766516944452,0.670170128117422,0.522313012096079,1.03402152335642,29,0.0613517073849617,29,0.254900149722214,0.0917756766666667,0.0504535516833787
shapes_6dof_events,w/o global expansion,Ablation,UseGlobalExpansion,0,30,30,1756.56666666667,30.2,51.9666666666667,0.418745670046193,0.697236863040209,0.502577401749005,0.35397900814639,2.61375298129862,29,0.0315793991642877,29,0.269429803626458,0.143693436666667,0.0637186430755335
shapes_6dof_events,unit estimation weights,Ablation,UseWeights,0,30,30,1756.56666666667,30.2,21.8666666666667,0.583241406037113,0.707102665461438,0.625844108072981,0.474191606406109,1.10000087809418,29,0.0641054839699158,29,0.259564001205229,0.132035293333333,0.0763830414314949
shapes_6dof_events,unit support tests,Ablation,UseMultiplicitySupport,0,30,30,1756.56666666667,30.2,57.7,0.911673013463833,0.703261914139428,0.788512426349472,0.658896091833942,1.57053245247397,30,0.0719903097032694,30,0.296738085860572,0.129519663333333,0.0603965126833209
shapes_6dof_events,MAD = 3,Sensitivity,MAD,3,30,30,1756.56666666667,30.2,20.7333333333333,0.569908944041778,0.712317214046877,0.620429431738352,0.467980559076728,1.05838565311182,29,0.0587732936772154,29,0.254349452619789,0.144562623333333,0.0772890391571645
shapes_6dof_events,MAD = 3.5,Sensitivity,MAD,3.5,30,30,1756.56666666667,30.2,21.1,0.581932645226302,0.710809859832798,0.627064192599971,0.475750118488772,1.08181364499823,29,0.0623262258195037,29,0.255856806833869,0.125403433333333,0.0670139983878887
shapes_6dof_events,MAD = 4,Sensitivity,MAD,4,30,30,1756.56666666667,30.2,21.1666666666667,0.5879559303237,0.711637085963201,0.630475232376349,0.479783339798716,1.10319392124666,29,0.0613534233268939,29,0.255029580703465,0.11460355,0.0591684651941693
shapes_6dof_events,p_in = 0.7,Sensitivity,p_in,0.7,30,30,1756.56666666667,30.2,22.4,0.592049406126852,0.707879180407373,0.632050087093175,0.481512183070918,1.10460795328416,29,0.0605643893812639,29,0.258787486259293,0.119233516666667,0.0641017509006288
shapes_6dof_events,p_in = 0.8,Sensitivity,p_in,0.8,30,30,1756.56666666667,30.2,21.1,0.581932645226302,0.710809859832798,0.627064192599971,0.475750118488772,1.08181364499823,29,0.0623262258195037,29,0.255856806833869,0.125242043333333,0.0632522277197967
shapes_6dof_events,p_in = 0.9,Sensitivity,p_in,0.9,30,30,1756.56666666667,30.2,19.7333333333333,0.568316636795692,0.72510480089152,0.619695198016056,0.466919051599315,1.04510519061736,29,0.0601347741563162,29,0.241561865775147,0.134451626666667,0.0735393887311861
shapes_6dof_events,p_w = 0.7,Sensitivity,p_w,0.7,30,30,1756.56666666667,30.2,20.6666666666667,0.58079608520804,0.710589521518926,0.626179524821634,0.474712242723299,1.06133246402009,29,0.0601271508687664,29,0.256077145147741,0.12236647,0.0664273332273756
shapes_6dof_events,p_w = 0.8,Sensitivity,p_w,0.8,30,30,1756.56666666667,30.2,21.1,0.581932645226302,0.710809859832798,0.627064192599971,0.475750118488772,1.08181364499823,29,0.0623262258195037,29,0.255856806833869,0.12346865,0.0726565364414334
shapes_6dof_events,p_w = 0.9,Sensitivity,p_w,0.9,30,30,1756.56666666667,30.2,21.5666666666667,0.585565257590574,0.710750871580335,0.628943442058417,0.477992348654566,1.10236090256374,29,0.0619675836335404,29,0.255915795086332,0.12579544,0.0749172421978095
shapes_6dof_events,overlap = 0.7,Sensitivity,overlap,0.7,30,30,1756.56666666667,30.2,21.0333333333333,0.581780618521869,0.71082009329011,0.626975534419928,0.475659744822639,1.07691168421392,29,0.0619775698663971,29,0.255846573376557,0.12564618,0.0744924222033698
shapes_6dof_events,overlap = 0.8,Sensitivity,overlap,0.8,30,30,1756.56666666667,30.2,21.1,0.581932645226302,0.710809859832798,0.627064192599971,0.475750118488772,1.08181364499823,29,0.0623262258195037,29,0.255856806833869,0.127051133333333,0.0722455186509186
shapes_6dof_events,overlap = 0.9,Sensitivity,overlap,0.9,30,30,1756.56666666667,30.2,21.1666666666667,0.582720914820948,0.711467240869929,0.627753696446983,0.476662748706099,1.08799059853827,29,0.0620894539797134,29,0.255199425796738,0.12935224,0.077833973842402
shapes_6dof_events,eps_s = 0.015,Sensitivity,eps_s,0.015,30,30,1756.56666666667,30.2,22.7,0.579438838905871,0.714686509501389,0.62680970936384,0.475399425459207,1.13134429269531,29,0.0513286668287804,29,0.251980157165277,0.1234982,0.0727050506122583
shapes_6dof_events,eps_s = 0.02,Sensitivity,eps_s,0.02,30,30,1756.56666666667,30.2,21.1,0.581932645226302,0.710809859832798,0.627064192599971,0.475750118488772,1.08181364499823,29,0.0623262258195037,29,0.255856806833869,0.122773506666667,0.067547774098485
shapes_6dof_events,eps_s = 0.025,Sensitivity,eps_s,0.025,30,30,1756.56666666667,30.2,20.1,0.582259799789953,0.703904250461394,0.624337167865853,0.471852766380446,1.06248275614401,29,0.0724592632953373,29,0.262762416205273,0.124291233333333,0.0638822259987233
shapes_6dof_events,eps_t = 0.005,Sensitivity,eps_t,0.005,30,30,1756.56666666667,30.2,5.53333333333333,0.244146595505299,0.720613890673109,0.309221780444026,0.212767578932005,1.02884615384615,26,0.131607727693251,27,0.17938610932689,0.1123667,0.105928517922073
shapes_6dof_events,eps_t = 0.01,Sensitivity,eps_t,0.01,30,30,1756.56666666667,30.2,18.2,0.54792885130593,0.717268712042485,0.605941844796464,0.452213888117785,1.0420374925953,29,0.068710622732266,29,0.249397954624182,0.13818657,0.0846057856601616
shapes_6dof_events,eps_t = 0.015,Sensitivity,eps_t,0.015,30,30,1756.56666666667,30.2,20.0333333333333,0.577816455637992,0.716920279079214,0.62490377933679,0.472482305572472,1.0529607844263,29,0.0621428582858803,29,0.249746387587452,0.123547516666667,0.0616508142196482
shapes_6dof_events,eps_t = 0.02,Sensitivity,eps_t,0.02,30,30,1756.56666666667,30.2,21.1,0.581932645226302,0.710809859832798,0.627064192599971,0.475750118488772,1.08181364499823,29,0.0623262258195037,29,0.255856806833869,0.11886563,0.0618857497551468
shapes_6dof_events,eps_t = 0.025,Sensitivity,eps_t,0.025,30,30,1756.56666666667,30.2,21.1,0.581932645226302,0.710809859832798,0.627064192599971,0.475750118488772,1.08181364499823,29,0.0623262258195037,29,0.255856806833869,0.119607173333333,0.0657656537734786
shapes_6dof_events,Event retention = 25%,Sparsity,retention,0.25,150,30,439.2,26.6133333333333,1.76,0.0844666668715756,0.589245891908184,0.141781552404775,0.0824429974875463,1.03114478114478,99,0.0402613018236751,106,0.170754108091816,0.0274195686666667,0.0219464322269467
shapes_6dof_events,Event retention = 50%,Sparsity,retention,0.5,150,30,878.6,28.7866666666667,8.04666666666667,0.313916798683557,0.760118732615249,0.422413021933569,0.285777596622018,1.03965814361498,139,0.0521142049172941,142,0.186547934051418,0.0687028966666667,0.0413711526407936
shapes_6dof_events,Event retention = 75%,Sparsity,retention,0.75,150,30,1317.56666666667,29.7533333333333,15.4666666666667,0.474477634647032,0.727882333403447,0.54982188304791,0.401409265015231,1.07195806787024,143,0.0581733856112179,145,0.23878433326322,0.0966342266666667,0.0496415734949142
shapes_6dof_events,Added events = 5%,AddedEvents,added-event ratio,0.05,150,30,1844.43333333333,30.2,21.0466666666667,0.585934202243691,0.708776228009227,0.628367792776678,0.477240211018428,1.07492517061483,145,0.0619936508450622,145,0.25789043865744,0.123248476666667,0.0641247356590414
shapes_6dof_events,Added events = 10%,AddedEvents,added-event ratio,0.1,150,30,1932.3,30.2,21.08,0.58484823176691,0.707207994014771,0.626675335821324,0.475323178655435,1.07326783088446,145,0.0621016130236825,145,0.259458672651895,0.125920638,0.0604157600394521
