Dataset,Packet,Experiment,Category,Parameter,Value,Repeat,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,MergeError,ExtraEventRatio,RuntimeSeconds
urban_events,1,Full LLGD,Full,-,NaN,1,2256,77,26,0.408805031446541,0.632295719844358,0.496562261268144,0.330284552845528,1,0.184615384615385,0.367704280155642,0.1321192
urban_events,1,w/o weighted support,Ablation,UseWeights,0,1,2256,77,93,0.655345911949686,0.503868471953578,0.569710224166211,0.398318042813456,1.4,0.143953934740883,0.496131528046422,0.3094334
urban_events,1,w/o local verification,Ablation,UseVerification,0,1,2256,77,28,0.39874213836478,0.609615384615385,0.48212927756654,0.317635270541082,2,0.141955835962145,0.390384615384615,0.1354423
urban_events,1,w/o global expansion,Ablation,UseGlobalExpansion,0,1,2256,77,25,0.305660377358491,0.598522167487685,0.40466278101582,0.253653444676409,1,0,0.401477832512315,0.0702396
urban_events,1,unit estimation weights,Ablation,UseWeights,0,1,2256,77,23,0.369811320754717,0.649006622516556,0.471153846153846,0.308176100628931,2,0.105442176870748,0.350993377483444,0.1575651
urban_events,1,unit support tests,Ablation,UseMultiplicitySupport,0,1,2256,77,89,0.656603773584906,0.503375120540019,0.569868995633188,0.398473282442748,1.11111111111111,0.21455938697318,0.496624879459981,0.3237116
urban_events,1,MAD = 3,Sensitivity,MAD,3,1,2256,77,26,0.39874213836478,0.626482213438735,0.487317448116833,0.322154471544715,1,0.160883280757098,0.373517786561265,0.1446235
urban_events,1,MAD = 3.5,Sensitivity,MAD,3.5,1,2256,77,26,0.408805031446541,0.632295719844358,0.496562261268144,0.330284552845528,1,0.184615384615385,0.367704280155642,0.1204323
urban_events,1,MAD = 4,Sensitivity,MAD,4,1,2256,77,25,0.411320754716981,0.63495145631068,0.499236641221374,0.33265513733469,1,0.18960244648318,0.36504854368932,0.1301257
urban_events,1,p_in = 0.7,Sensitivity,p_in,0.7,1,2256,77,25,0.39874213836478,0.630218687872763,0.4884437596302,0.323139653414883,2,0.141955835962145,0.369781312127237,0.1269843
urban_events,1,p_in = 0.8,Sensitivity,p_in,0.8,1,2256,77,26,0.408805031446541,0.632295719844358,0.496562261268144,0.330284552845528,1,0.184615384615385,0.367704280155642,0.1152635
urban_events,1,p_in = 0.9,Sensitivity,p_in,0.9,1,2256,77,23,0.405031446540881,0.653144016227181,0.5,0.333333333333333,1,0.186335403726708,0.346855983772819,0.1297561
urban_events,1,p_w = 0.7,Sensitivity,p_w,0.7,1,2256,77,26,0.408805031446541,0.632295719844358,0.496562261268144,0.330284552845528,1,0.184615384615385,0.367704280155642,0.121666
urban_events,1,p_w = 0.8,Sensitivity,p_w,0.8,1,2256,77,26,0.408805031446541,0.632295719844358,0.496562261268144,0.330284552845528,1,0.184615384615385,0.367704280155642,0.121732
urban_events,1,p_w = 0.9,Sensitivity,p_w,0.9,1,2256,77,26,0.408805031446541,0.632295719844358,0.496562261268144,0.330284552845528,1,0.184615384615385,0.367704280155642,0.1281802
urban_events,1,overlap = 0.7,Sensitivity,overlap,0.7,1,2256,77,26,0.408805031446541,0.632295719844358,0.496562261268144,0.330284552845528,1,0.184615384615385,0.367704280155642,0.1254972
urban_events,1,overlap = 0.8,Sensitivity,overlap,0.8,1,2256,77,26,0.408805031446541,0.632295719844358,0.496562261268144,0.330284552845528,1,0.184615384615385,0.367704280155642,0.1203215
urban_events,1,overlap = 0.9,Sensitivity,overlap,0.9,1,2256,77,26,0.408805031446541,0.633528265107212,0.496941896024465,0.330620549338759,1,0.184615384615385,0.366471734892788,0.1189614
urban_events,1,eps_s = 0.015,Sensitivity,eps_s,0.015,1,2256,77,21,0.39874213836478,0.68763557483731,0.504777070063694,0.337593184238552,2,0.141955835962145,0.31236442516269,0.1048973
urban_events,1,eps_s = 0.02,Sensitivity,eps_s,0.02,1,2256,77,26,0.408805031446541,0.632295719844358,0.496562261268144,0.330284552845528,1,0.184615384615385,0.367704280155642,0.1186512
urban_events,1,eps_s = 0.025,Sensitivity,eps_s,0.025,1,2256,77,28,0.407547169811321,0.612476370510397,0.489425981873112,0.324,1,0.191358024691358,0.387523629489603,0.1604296
urban_events,1,eps_t = 0.005,Sensitivity,eps_t,0.005,1,2256,77,11,0.289308176100629,0.741935483870968,0.416289592760181,0.262857142857143,1,0,0.258064516129032,0.1014041
urban_events,1,eps_t = 0.01,Sensitivity,eps_t,0.01,1,2256,77,23,0.39496855345912,0.64476386036961,0.489859594383775,0.324380165289256,1,0.168789808917197,0.35523613963039,0.1478814
urban_events,1,eps_t = 0.015,Sensitivity,eps_t,0.015,1,2256,77,25,0.405031446540881,0.642714570858283,0.496913580246914,0.330595482546201,1,0.183229813664596,0.357285429141717,0.146159
