Dataset,Experiment,Category,Parameter,Value,Runs,Packets,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,FragmentationN,MergeError,MergeErrorN,ExtraEventRatio,RuntimeSeconds,RuntimeStd
urban_events,Full LLGD,Full,-,NaN,30,30,10946.8333333333,96.2666666666667,54.7,0.400809014704069,0.282085443862751,0.300962712574371,0.187026325276006,1.08974358974359,26,0.400232692410183,30,0.717914556137249,1.26219998,1.23771279536151
urban_events,w/o weighted support,Ablation,UseWeights,0,30,30,10946.8333333333,96.2666666666667,218.3,0.876833232764639,0.344562316604653,0.488355013543237,0.326922077937026,1.53548572426076,30,0.4514717171115,30,0.655437683395347,1.58917299,1.53789328124931
urban_events,w/o local verification,Ablation,UseVerification,0,30,30,10946.8333333333,96.2666666666667,77.7,0.431768942663007,0.30760344809207,0.335885671004946,0.210107061159825,1.13973727422003,29,0.360493706104203,30,0.69239655190793,0.952696626666667,0.851179990958907
urban_events,w/o global expansion,Ablation,UseGlobalExpansion,0,30,30,10946.8333333333,96.2666666666667,173.166666666667,0.208924999331048,0.24792510020949,0.2069055314049,0.119839968252789,2.71611780930321,28,0.0523566667570768,30,0.752074899790509,0.833508606666667,0.51306315852121
urban_events,unit estimation weights,Ablation,UseWeights,0,30,30,10946.8333333333,96.2666666666667,51.5666666666667,0.421564298903747,0.287145712190713,0.313485995213261,0.195927580882282,1.2097619047619,25,0.447353025042548,30,0.712854287809287,1.30303335,1.24921154542752
urban_events,unit support tests,Ablation,UseMultiplicitySupport,0,30,30,10946.8333333333,96.2666666666667,202.166666666667,0.878269582284826,0.343184456138292,0.487300937876257,0.326000725561337,1.55860388975903,30,0.478073489092077,30,0.656815543861708,1.58280222333333,1.61938031120403
urban_events,MAD = 3,Sensitivity,MAD,3,30,30,10946.8333333333,96.2666666666667,56.1,0.369335815534022,0.287247425050904,0.292832683055063,0.179188882265779,1.06355311355311,26,0.374302742822016,30,0.712752574949096,1.22266774,1.19462496518453
urban_events,MAD = 3.5,Sensitivity,MAD,3.5,30,30,10946.8333333333,96.2666666666667,54.7,0.400809014704069,0.282085443862751,0.300962712574371,0.187026325276006,1.08974358974359,26,0.400232692410183,30,0.717914556137249,1.23986590666667,1.21931785569649
urban_events,MAD = 4,Sensitivity,MAD,4,30,30,10946.8333333333,96.2666666666667,56.5,0.373261917320963,0.285081086795159,0.298209990141538,0.183627985450999,1.1,25,0.379307114693118,30,0.714918913204841,1.08066512333333,1.01148344665673
urban_events,p_in = 0.7,Sensitivity,p_in,0.7,30,30,10946.8333333333,96.2666666666667,57.7666666666667,0.411319346353798,0.287183417485828,0.307229206787324,0.190702722763723,1.15555555555556,27,0.416519075319485,30,0.712816582514172,1.38265839,1.53805443869493
