Index,Events,Segments,Seconds
117,12126,27,1.4635842
118,17202,20,2.8733971
119,15334,45,2.1329495
120,15267,53,1.8369379
121,13857,24,2.1335534
122,18207,69,2.2383518
123,15794,62,1.8273914
124,14209,23,2.0229263
125,13212,38,1.5582886
126,13097,38,1.5843622
127,12214,39,1.1921033
128,14177,16,1.5978344
129,9332,20,0.6920603
130,17059,47,1.7135331
131,11465,29,1.0182961
132,15452,45,1.5441164
133,6069,8,0.4957565
134,13903,49,1.288074
135,15001,15,1.8415407
136,13633,35,1.0667218
137,12312,10,1.1772998
138,12628,27,1.0691319
139,14840,42,1.6421722
140,14120,29,1.2929282
141,17668,19,2.1985308
142,14291,16,1.6843953
143,13395,19,1.4498421
144,7656,10,0.6076572
145,8902,15,0.6903543
146,5323,6,0.3448295
147,3395,4,0.2198039
148,2409,5,0.1496594
149,3863,2,0.2158037
150,9798,17,0.764618
151,15667,30,1.4082912
152,9201,18,0.7041164
153,13239,22,1.1254167
154,11544,8,1.5829796
155,14002,16,1.3467807
156,13955,22,1.3599252
157,8431,15,0.7035498
158,15150,15,2.9677305
159,11569,22,1.1734009
160,15834,6,2.5968149
161,12050,19,1.0296995
162,15749,34,1.6919556
163,11041,25,1.1505651
164,14141,37,1.4502813
165,12165,30,1.1684043
166,10059,35,0.9036754
167,11010,19,1.0960875
168,13847,28,2.2591798
169,13469,41,1.5163713
170,11337,19,0.960233
171,18931,38,1.7739021
172,10079,9,0.872611
173,10954,15,1.001203
174,9102,9,0.7225226
175,12929,30,1.1695399
176,12724,38,1.2453568
177,9907,12,0.7607253
178,10873,15,0.914534
179,4293,4,0.2695416
180,8871,14,0.6446889
181,8565,14,0.6620225
182,6719,5,0.4443731
183,15094,7,2.8658281
184,9095,11,0.7572593
185,10960,24,0.9732092
186,8101,11,0.5204281
187,10618,26,0.7687172
188,10724,18,0.9006049
189,9096,20,0.7325443
190,12247,26,1.0584245
191,12394,31,1.148905
192,13114,40,1.1974586
193,12871,29,1.0976766
194,9291,25,0.7818464
195,13247,22,1.5099521
196,7946,12,0.5732683
197,8401,19,0.7187439
198,12698,41,1.0942206
199,9773,34,0.8146761
200,10688,19,0.9380279
201,9157,30,0.8001346
202,9087,21,0.7586103
203,6718,8,0.5030369
204,10416,27,1.16986
205,7999,20,0.644292
206,3221,2,0.2132524
207,6410,16,0.4981757
208,9144,36,0.7459495
209,6545,12,0.4610881
210,9169,22,0.8195123
211,9608,32,0.7410193
212,3093,11,0.2245437
213,13437,33,1.2603084
214,10727,25,1.1460401
215,10799,39,0.9842738
216,10354,50,1.0224596
217,8374,23,0.7283107
218,7605,17,0.6362078
219,9021,39,0.736502
220,7988,13,0.6634434
221,6718,18,0.5214421
