Index,Events,Segments,Seconds
115,19858,5,4.3369436
116,11180,59,1.1432264
117,11307,74,1.1763757
118,7382,20,1.0477087
119,7333,24,0.71205
120,5741,18,0.45916
121,4184,11,0.2671582
122,5992,23,0.4912278
123,9049,6,0.9651848
124,6970,42,0.5425699
125,10362,79,0.9320824
126,3944,12,0.2410103
127,14728,89,1.2746705
128,6575,15,0.5143504
129,2474,9,0.1263252
130,6315,25,0.4705385
131,5043,13,0.3459813
132,3708,11,0.2858985
133,2240,3,0.1670623
134,5615,12,0.4607789
135,5403,23,0.3686696
136,8876,42,0.7231034
137,13434,41,1.4266998
138,3614,6,0.2109398
139,5453,18,0.4205794
140,3897,5,0.1905015
141,6914,40,0.5689242
142,8302,45,0.6673454
143,7170,37,0.580871
144,13763,120,1.2962584
145,6326,21,0.4823824
146,7292,44,0.6060051
147,4786,24,0.3173985
148,9232,59,0.8540044
149,10423,14,1.2361546
150,8824,40,0.7159684
151,9628,42,0.8008487
152,5320,20,0.3842188
153,6890,41,0.5488917
154,8377,46,0.7450539
155,6375,36,0.4639694
156,9100,53,0.7752578
157,5486,20,0.3781449
158,8249,39,0.7678242
159,7882,37,0.7418084
160,4267,10,0.3240672
161,6962,12,0.62171
162,6929,32,0.5343995
163,14148,48,1.3894194
164,9135,63,0.7364546
165,17427,20,3.6165739
166,14239,11,1.8176247
167,13430,49,1.6395662
168,20907,33,3.3732055
169,3261,8,0.2496596
170,13013,7,1.989014
171,18994,11,3.6828152
172,12081,56,1.1793016
173,15025,21,2.7242354
174,16365,16,2.3856563
175,12880,61,1.0607132
176,9212,51,0.8145999
177,3457,8,0.257543
178,6673,28,0.483081
179,5887,19,0.4252574
180,15212,20,1.9332956
181,15180,72,1.9988733
182,15198,29,1.5564095
183,13957,59,1.2612315
184,13045,69,1.1568788
185,7474,30,0.6774971
186,14288,54,1.4208367
187,14371,92,1.368128
188,17022,70,1.7819987
189,14152,27,2.0156178
190,14540,4,2.2466413
191,14165,32,1.6768966
192,18097,89,1.7317495
193,11269,54,0.9000189
194,8833,35,0.8006408
195,12666,28,1.2854338
196,8495,36,0.9632091
197,10434,36,1.424428
198,11553,52,2.0150472
199,16964,12,4.2319841
200,20988,24,5.1307605
201,16764,19,3.0130322
202,9119,39,0.955423
203,13148,59,1.4305358
204,3558,6,0.2772922
205,5104,13,0.470041
206,12768,50,1.6654232
207,19702,20,3.7831465
208,11428,21,1.4694978
209,24644,5,7.2031833
210,25144,9,9.3195757
211,11282,14,2.1270724
212,23881,16,5.8936956
213,8399,16,1.1758175
214,18714,55,2.8712943
215,24606,14,6.3036972
216,19612,4,5.1731289
217,14607,81,1.9925404
218,11143,78,1.3026668
219,7001,17,0.7312704
220,9297,20,1.397037
221,15965,100,2.25238
222,11684,55,1.7942025
223,17749,36,2.9576922
224,23522,25,5.4188879
225,19176,17,5.0924899
226,13954,118,1.7825857
227,11274,82,1.5379644
