Tick,Events,Seconds
0,1,1.3698e-05
1,712,0.00077623500000000001
2,696,0.00176268
3,715,0.0027616770000000001
4,677,0.0039168400000000004
5,614,0.0029472840000000001
6,633,0.0034423650000000002
7,635,0.0035671100000000001
8,532,0.0032692680000000001
9,599,0.003566451
10,571,0.0033605430000000001
11,662,0.0030651609999999998
12,574,0.0023757309999999998
13,567,0.0021897259999999999
14,686,0.0026365339999999998
15,737,0.002437004
16,673,0.0023444440000000002
17,668,0.0023210750000000001
18,681,0.0032588550000000002
19,665,0.0027052920000000002
20,595,0.0027962540000000002
21,693,0.0030581190000000002
22,743,0.002705229
23,764,0.0026270489999999998
24,776,0.002688691
25,791,0.002846126
26,774,0.003308287
27,931,0.0019939329999999998
28,829,0.001819071
29,864,0.001795755
30,875,0.001920859
31,926,0.001833934
32,915,0.0017926769999999999
33,1034,0.002024919
34,952,0.0019924589999999998
35,942,0.0019651220000000001
36,1044,0.001859292
37,928,0.001906383
38,962,0.002133261
39,938,0.0021589690000000002
40,1016,0.001864056
41,959,0.0070511269999999999
42,962,0.0051502010000000001
43,973,0.001645311
44,974,0.0017785520000000001
45,954,0.001555348
46,1041,0.0018062550000000001
47,945,0.0016878240000000001
48,925,0.00185772
49,939,0.001618747
50,961,0.0016250570000000001
51,1006,0.0016392119999999999
52,1007,0.001694791
53,927,0.001852802
54,884,0.0014385999999999999
55,957,0.0019210189999999999
56,898,0.001714209
57,864,0.0025296049999999999
58,755,0.0019035600000000001
59,817,0.0015749830000000001
60,789,0.0017069640000000001
61,686,0.001665906
62,719,0.0015888180000000001
63,668,0.0015577869999999999
64,726,0.001632973
65,642,0.001767193
66,650,0.0015849729999999999
67,638,0.0019479720000000001
68,661,0.0016285570000000001
69,668,0.0016384819999999999
70,604,0.001642419
71,675,0.0015673919999999999
72,688,0.00182059
73,679,0.001552643
74,679,0.0014723710000000001
75,715,0.0016075219999999999
76,750,0.001581343
77,755,0.002034447
78,818,0.001487438
79,848,0.0016060670000000001
80,811,0.0015544230000000001
81,722,0.0016942159999999999
82,843,0.0049035279999999999
83,870,0.0071319260000000002
84,915,0.0023375679999999999
85,846,0.001700238
86,909,0.0015811709999999999
87,1019,0.001643514
88,1015,0.0015817660000000001
89,1042,0.0015767000000000001
90,1015,0.0015371479999999999
91,1148,0.0016452070000000001
92,1115,0.0020498479999999999
93,1050,0.0016896249999999999
94,1066,0.001728308
95,1072,0.0017362790000000001
96,1108,0.002488905
97,1164,0.0021429069999999999
98,1078,0.0019096009999999999
99,1195,0.0023461469999999998
100,1135,0.0021082509999999998
101,1124,0.0021516420000000001
102,1150,0.0023745020000000001
103,1210,0.0021794779999999999
104,1182,0.0021429729999999998
105,1129,0.0018504039999999999
106,1118,0.00178272
107,1153,0.001619854
108,1243,0.0023119730000000002
109,1085,0.002263517
110,1165,0.0021904260000000001
111,1182,0.0023376949999999999
112,1186,0.0019306519999999999
113,1117,0.001825354
114,1116,0.0017125420000000001
115,1074,0.0022027069999999999
116,1061,0.0025618360000000001
117,1134,0.0021046950000000002
118,1064,0.0021101729999999999
119,999,0.0017208569999999999
120,1037,0.001645192
121,987,0.0024199159999999998
122,991,0.0022726729999999998
123,815,0.0047209169999999998
124,785,0.0032399769999999998
125,796,0.0022165029999999999
126,761,0.002063736
127,705,0.0021409770000000001
128,688,0.001950661
129,661,0.0017558160000000001
130,698,0.00336455
131,679,0.0023208980000000001
132,678,0.0022785409999999998
133,701,0.0020475060000000002
134,663,0.002269634
135,614,0.0023237290000000001
136,653,0.0022750000000000001
137,691,0.0020764350000000002
138,634,0.0020318290000000002
139,725,0.001992176
140,686,0.0019708500000000001
141,699,0.0017265920000000001
142,719,0.001914451
143,662,0.00221609
144,684,0.002263307
145,686,0.0020069839999999999
146,748,0.0018892519999999999
147,803,0.0019044159999999999
148,830,0.001825127
149,808,0.001764879
150,780,0.001814364
151,866,0.001869959
152,922,0.0020017939999999999
153,958,0.0018178199999999999
154,1051,0.0027019679999999999
155,1015,0.001939175
156,1146,0.001919149
157,1253,0.0019877380000000002
158,1218,0.002018265
159,1224,0.0018834469999999999
160,1246,0.0020360019999999999
161,1318,0.001948579
162,1344,0.002492223
163,1358,0.0020557190000000001
164,1371,0.0020377009999999998
165,1470,0.001861197
166,1282,0.002495541
167,1325,0.0024509979999999998
168,1314,0.0024029500000000001
169,1129,0.0023667390000000001
170,1357,0.0025257280000000001
171,1126,0.001834603
172,1115,0.001902609
173,1160,0.0020470240000000002
174,1207,0.0019595419999999999
175,1009,0.0021666319999999999
176,1029,0.001952643
177,1074,0.0020228949999999998
178,949,0.003035486
179,956,0.0019662640000000001
180,974,0.0019877919999999999
181,1025,0.001940247
182,1001,0.0020121929999999998
183,977,0.002062978
184,989,0.0018965869999999999
185,1080,0.0019970080000000002
186,1081,0.0023147789999999999
187,1051,0.0019682139999999998
188,1041,0.0017918890000000001
189,1021,0.0017458479999999999
190,1071,0.0019356219999999999
191,1126,0.001814459
192,1225,0.0018799540000000001
193,1078,0.0018598620000000001
194,1193,0.0022132749999999998
195,1130,0.0022852620000000001
196,1216,0.001820997
197,1180,0.001805039
198,1143,0.0022528589999999999
199,1269,0.0020742809999999999
200,1148,0.0019284409999999999
201,1127,0.0021556129999999998
202,1163,0.0020472789999999999
203,1116,0.0019705809999999999
204,1128,0.002017076
205,991,0.0018805989999999999
206,990,0.0020280699999999999
207,910,0.002315985
208,860,0.0025214870000000002
209,792,0.002161736
210,757,0.0022605239999999999
211,717,0.0027462989999999998
212,552,0.0018617550000000001
213,584,0.0021994100000000002
214,558,0.002310908
215,520,0.0023894480000000002
216,511,0.0025045660000000002
217,490,0.003764239
218,547,0.0023237779999999999
219,548,0.002241079
220,553,0.0019884719999999998
221,622,0.0021206990000000002
222,713,0.0020172570000000002
223,742,0.0021517390000000002
224,798,0.002470515
225,895,0.0021550269999999999
226,942,0.0024512869999999999
227,1032,0.0022938170000000001
228,1165,0.0023432399999999999
229,1141,0.0022592559999999999
230,1198,0.0021504940000000002
231,1225,0.0024684339999999998
232,1345,0.0023101760000000002
233,1375,0.001825693
234,1392,0.001830171
235,1369,0.001710608
236,1408,0.001916247
237,1415,0.0018136649999999999
238,1542,0.00186955
239,1493,0.001891642
240,1550,0.0022832799999999999
241,1634,0.0024211359999999999
242,1572,0.002268005
243,1593,0.0019477069999999999
244,1623,0.0020176550000000001
245,1677,0.0019082070000000001
246,1537,0.0020765179999999999
247,1698,0.0020657750000000002
248,1556,0.0025129150000000001
249,1591,0.00260173
250,1458,0.0019431889999999999
251,1510,0.0030208890000000001
252,1510,0.002439559
253,1417,0.002013716
254,1452,0.0019972449999999999
255,1461,0.0024133240000000001
256,1461,0.0024326370000000001
257,1515,0.0025817800000000001
258,1319,0.0023553430000000002
259,1304,0.0024144560000000002
260,1368,0.002434486
261,1352,0.0024914120000000001
262,1250,0.0021813409999999998
263,1227,0.0019953079999999999
264,1180,0.0021864160000000001
265,1201,0.0020382540000000002
266,1169,0.0022243330000000002
267,1131,0.0023585339999999998
268,1073,0.0024352150000000001
269,1077,0.0024227519999999998
270,1088,0.0025741840000000002
271,1005,0.002367737
272,933,0.0020193009999999998
273,928,0.001825295
274,1004,0.001931667
275,829,0.001839615
276,905,0.002063105
277,939,0.0028133479999999998
278,955,0.0023562230000000002
279,901,0.0024481540000000001
280,955,0.002475227
281,1012,0.002486341
282,1125,0.002525125
283,1166,0.0020845450000000001
284,1088,0.0025094340000000001
285,1159,0.0025465409999999998
286,1312,0.0023148330000000001
287,1308,0.002132283
288,1347,0.0019531779999999999
289,1377,0.0022439740000000001
290,1406,0.0030875479999999999
291,1551,0.0031870259999999999
292,1487,0.0084569520000000002
293,1538,0.0070782299999999996
294,1478,0.0021199019999999999
295,1533,0.002023487
296,1478,0.0024472470000000001
297,1695,0.002500122
298,1387,0.0022688970000000002
299,1434,0.0023286750000000001
300,1389,0.0036637660000000002
301,1315,0.0026096000000000001
302,1522,0.0028351909999999999
303,1305,0.0024297810000000002
304,1160,0.0023823070000000002
305,1204,0.002388392
306,1208,0.0023308460000000001
307,1129,0.0026308550000000001
308,1050,0.0023342549999999999
309,1028,0.002405927
310,1012,0.002834025
311,903,0.00205506
312,856,0.002134258
313,842,0.0023515939999999998
