Sequence,Method,Tolerance,Frames,Matched,Predicted,Reference,Empty,Precision,Recall,F1
urban,rt,3,130,155908,220907,403963,0,0.7057630586626952,0.38594623765047786,0.4990093939539424
urban,rt,6,130,171768,220907,403963,0,0.777557976886201,0.4252072590806584,0.5497719525661338
urban,rt,9,130,182154,220907,403963,0,0.8245732367014174,0.45091753452667693,0.5830140669259206
urban,llgd,3,130,56406,105782,403963,0,0.5332287156605093,0.1396315999237554,0.22131065532766384
urban,llgd,6,130,67271,105782,403963,0,0.6359399519767068,0.1665276275302441,0.2639398130437768
urban,llgd,9,130,75406,105782,403963,0,0.7128433949065058,0.1866656104643247,0.2958577327879626
office_spiral,rt,3,113,112048,164561,266966,0,0.6808903689209472,0.4197088767858079,0.5193093363798789
office_spiral,rt,6,113,126820,164561,266966,0,0.7706564738911407,0.4750417656180937,0.5877731868457825
office_spiral,rt,9,113,135089,164561,266966,0,0.8209053177848944,0.5060157473236292,0.6260975558887393
office_spiral,llgd,3,113,55962,97436,266966,0,0.5743462375302762,0.20962219908153099,0.3071443076602214
office_spiral,llgd,6,113,68734,97436,266966,0,0.7054271521819451,0.2574634972243656,0.3772427154625935
office_spiral,llgd,9,113,75676,97436,266966,0,0.7766739192906112,0.2834668085074504,0.4153434942728086
hqf_boxes,rt,3,105,113869,154218,332140,0,0.7383638745152965,0.3428343469621244,0.46825178160943176
hqf_boxes,rt,6,105,132272,154218,332140,0,0.8576949513027013,0.39824170530499187,0.5439285464616599
hqf_boxes,rt,9,105,139513,154218,332140,0,0.9046479658665006,0.42004275305594024,0.573704966300544
hqf_boxes,llgd,3,105,60167,86722,332140,0,0.6937916560964923,0.18114951526464743,0.28728793731587016
hqf_boxes,llgd,6,105,71681,86722,332140,0,0.8265607343004082,0.21581561991931114,0.3422654716827977
hqf_boxes,llgd,9,105,77435,86722,332140,0,0.8929106801042411,0.23313963991088096,0.36973991433932896
