Index,Events,Segments,Seconds
131,8192,79,4.0998155
132,19157,52,3.27708
133,9420,64,0.5009361
134,6944,72,0.4332571
135,20673,70,2.8743538
136,8914,57,0.9403914
137,22169,65,2.2158144
138,12008,94,0.849574
139,17801,101,1.3921919
140,8112,50,0.4490346
141,12840,79,0.9271148
142,10756,78,0.6612891
143,15333,88,1.6427151
144,19081,108,1.6375237
145,24294,57,5.7221524
146,12257,65,1.5932644
147,15138,62,2.566609
148,10048,56,0.6417366
149,5395,61,0.3540425
150,5229,57,0.3127153
151,5282,59,0.2555666
152,7088,72,0.4229993
153,8904,85,0.4583427
154,13572,43,1.9530854
155,12887,86,0.8809806
156,22920,46,4.3399798
157,9959,82,0.7380481
158,19258,56,3.0872724
159,11771,82,0.7762123
160,14789,90,0.9852104
161,7894,54,0.4403978
162,13379,67,0.8746248
163,10367,57,0.5567371
164,12314,46,1.3480017
165,9043,55,0.7237075
166,17712,36,3.5749103
167,4720,68,0.2931099
168,12977,61,0.9757816
169,6786,50,0.4166737
170,10551,80,0.7097252
171,12000,77,0.7510656
172,10302,63,0.5594165
173,6730,41,0.3306871
174,13083,89,0.9420241
175,13558,101,1.0496126
176,7478,46,0.4428364
177,11915,63,0.9440471
178,6447,45,0.4161701
179,13803,35,2.1211693
180,18661,115,1.3725659
181,14897,27,1.7580811
182,10573,64,0.664312
183,10880,48,0.8566398
184,8124,39,0.4545214
185,5913,30,0.3427505
186,8896,49,0.5229058
187,19754,16,3.2911
188,23107,41,3.3173956
189,11144,61,0.8692288
190,13963,41,1.2233468
191,10618,53,0.7629952
192,11075,36,0.9423312
193,11087,63,0.6545921
194,12731,87,0.8977219
195,2686,41,0.1077506
196,4770,39,0.2500176
197,7917,63,0.4452169
198,8082,56,0.5272162
199,16127,68,1.2594718
200,10019,85,0.6234706
201,21173,24,4.7499676
202,6849,40,0.4167927
203,11992,45,0.7365462
204,4606,12,0.2091492
205,11331,42,0.8679066
206,4144,25,0.1990011
207,6162,18,0.2760071
208,5404,21,0.2496634
209,7726,48,0.4136768
210,3182,23,0.1619695
211,14540,43,1.0146433
212,6766,31,0.3416612
213,5826,20,0.2879436
214,9408,40,0.5917612
215,5343,22,0.2471917
216,7224,25,0.3969653
217,4939,22,0.2253884
218,8809,37,0.5136837
219,3140,16,0.1577097
220,2833,15,0.1602844
221,10495,37,0.878797
222,12209,24,1.7194402
223,7757,37,0.4629414
224,2535,16,0.1188691
225,4351,12,0.2661778
226,3376,20,0.2075924
227,5225,31,0.3013015
228,3103,25,0.1495938
229,5340,30,0.305648
230,5679,18,0.2420296
231,12069,49,0.7919427
232,4813,26,0.2648612
233,11425,49,0.7208811
234,8228,33,0.5761111
235,6090,28,0.3061044
236,6869,41,0.3867153
237,8563,32,0.5091154
238,3972,18,0.2288464
239,7262,27,0.3954273
240,4475,15,0.2053807
241,4884,21,0.2444891
242,15976,56,1.2117678
243,19224,37,2.0172248
244,10174,39,0.5807864
245,8419,26,0.5119597
246,2964,12,0.144658
247,3475,14,0.1441457
248,1083,4,0.0322967
249,4373,25,0.325016
250,2757,10,0.1332775
251,8673,29,0.451454
252,13827,34,0.9615358
253,8029,36,0.475897
254,11347,31,0.9514971
255,10102,25,0.6767672
256,7905,26,0.532025
257,10434,39,0.707557
258,10966,51,0.6400002
259,7551,30,0.3970335
260,5310,15,0.3028248
